Influence,Participant,Email,Name,Joined Date,Approximate Locations,Assessment Amount,Civility Pledge,"Civility Pledge: Yes, I agree",Friend Referral,Friend Referral: Yes,Friend Referral: No,How did you hear about this survey?,How did you hear about this survey?: From a friend,How did you hear about this survey?:  From the news media,How did you hear about this survey?: I received an email from the City inviting me to participate,How did you hear about this survey?: From the City’s website,How did you hear about this survey?: From a social media post by a friend/business/organization I follow,How did you hear about this survey?: From a City Council meeting or from a Councillor,How did you hear about this survey?:  From one of the City’s social media channels,How long have you been living in Prince George?,How long have you been living in Prince George?: More than 10 years,How long have you been living in Prince George?: 6-10 years,How long have you been living in Prince George?: 3-5 years,How long have you been living in Prince George?: Less than 1 year,How long have you been living in Prince George?: 1-2 years,New Learnings,New Learnings: Yes,New Learnings: No,Other Processes,Other Processes: Yes,Other Processes: No,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Pools,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Arenas,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Playgrounds,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Sidewalks,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Roads,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Stormwater drainage,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Energy – heat and electricity,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Nature parks and trails,"Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Outdoor recreation facilities such as basketball courts, tennis courts, and ball diamonds",Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Performing Arts,Process Evaluation,Property Type,Provide your input to the City of Prince George,Provide your input to the City of Prince George: Submit,Satisfaction  Roads and Sidewalks Services,Satisfaction Bylaw Enforcement,Satisfaction Community Planning and Infrastructure,Satisfaction Community Support services,Satisfaction Corporate Services,Satisfaction Fire Protection,"Satisfaction Parks, Trails, and Beautification",Satisfaction Police Services,Satisfaction Public Transit,Satisfaction Recreation and Community Services,Satisfaction Services that attract and retain business and facilitate development,Satisfaction Snow and Ice Control,Support for Final Decision,Support for Final Decision: Yes,Support for Final Decision: No,Support for Group Results,Support for Group Results: Yes,Support for Group Results: No,What do you feel are key topics the City should consider as it establishes its 2023 budget?,Corporate Services,Community Planning and Infrastructure,Services that attract and retain business and facilitate development,Community Support services ,"Parks, Trails, and Beautification",Recreation and Community Services, Public Transit Services,Roads and Sidewalks,Snow and Ice Control,Bylaw Enforcement Services,Fire Protection Services,Police Services,Services that attract and retain business and facilitate development Weight,Community Planning and Infrastructure Weight,Community Support services  Weight,Snow and Ice Control Weight,Roads and Sidewalks Weight,"Parks, Trails, and Beautification Weight",Recreation and Community Services Weight,Police Services Weight,Fire Protection Services Weight,Bylaw Enforcement Services Weight, Public Transit Services Weight,Corporate Services Weight
1,e8c31119-733c-48ca-a938-468867bfd587,,Guest,"Oct 24, 2022  6:59pm",Prince George (CA),300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 10% Decrease (551.3902292),,,,,,,,,,,,
1,633ce0cd-7bb3-4d8f-8432-6cf1e82c68b9,,Guest,"Oct 24, 2022  6:59pm",Prince George (CA),701000,,,Yes,Selected,,I received an email from the City inviting me to participate,,,Selected,,,,,More than 10 years,Selected,,,,,Yes,Selected,,No,,Selected,"Playgrounds, Roads, Energy – heat and electricity, Outdoor recreation facilities such as basketball courts, tennis courts, and ball diamonds, Performing Arts",,,Selected,,Selected,,Selected,,Selected,Selected,9,,Submit,Selected,8,8,2,2,8,9,8,8,8,8,2,8,Yes,Selected,,Yes,Selected,,#NAME?,Corporate Services: Keep the Same (396.22),Community Planning and Infrastructure: Keep the Same (139.66),Services that attract and retain business and facilitate development: 10% Increase (8),Community Support services : 5% Increase (122.9424394),Keep the same (96.36),Recreation and Community Services: Keep the Same (171.99), Public Transit Services: 5% Decrease (80.73338963),Roads and Sidewalks: Keep the Same (112.22),Snow and Ice Control: Keep the Same (199.02),Bylaw Enforcement Services: 5% Increase (50.39186057),Fire Protection Services: 5% Decrease (362.0903532),Police Services: Keep the Same (612.66),100,73,100,75,75,75,75,100,76,76,23,22
1,28444567-8cd4-4e5b-9f8b-e8fa1889c3f4,,Guest,"Oct 24, 2022  6:58pm",Telkwa (CA),590000,,,Yes,Selected,,From a social media post by a friend/business/organization I follow,,,,,Selected,,,More than 10 years,Selected,,,,,Yes,Selected,,Yes,Selected,,"Sidewalks, Roads, Stormwater drainage, Energy – heat and electricity, Performing Arts",,,,Selected,Selected,Selected,Selected,,,Selected,6,,,,6,3,4,,4,7,6,,,,,6,Yes,Selected,,No,,Selected,"Streamline administrative services especially in tracking and reporting for accountability. Avoid duplication, empower staff and trust them. Back them up.",Corporate Services: 5% Decrease (376.4111022),Community Planning and Infrastructure: 5% Increase (146.6394178),,Community Support services : Keep the Same (117.09),"Parks, Trails, and Beautification: 5% Increase (101.1801663)",,,,,Bylaw Enforcement Services: 5% Decrease (45.59263576),,,57,58,44,61,59,59,44,58,57,,45,
1,1568dc7f-edac-4787-a450-806d94989615,,Guest,"Oct 24, 2022  7:00pm",Burnaby (CA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,225957f3-18a9-482c-810f-c6b1c9e2ee12,,Guest,"Oct 24, 2022  7:01pm",Prince George (CA),"300,000.00",,,Yes,Selected,,From one of the City’s social media channels,,,,,,,Selected,More than 10 years,Selected,,,,,No,,Selected,,,,"Energy – heat and electricity, Nature parks and trails, Performing Arts",,,,,,,Selected,Selected,,Selected,10,,Submit,Selected,7,1,0,10,,,2,,,,5,8,Yes,Selected,,,,,"Addressing unhoused encampments downtown (create a safe encampment for those who don’t want permanent housing with proper bathroom, water, safety  and garbage facilities)  downtown businesses with cleanup daily (fecal matter, garbage, needles), patrol for fire safety downtown as it gets colder and fires being made in business doorways.",Corporate Services: 15% Decrease (336.7888809),Community Planning and Infrastructure: 5% Increase (146.6394178),Services that attract and retain business and facilitate development: Keep the Same (6.46),Community Support services : 15% Decrease (99.52483193),"Parks, Trails, and Beautification: 15% Increase (110.8163727)",Recreation and Community Services: Keep the Same (171.99), Public Transit Services: Keep the Same (84.98),,,Bylaw Enforcement Services: 5% Increase (50.39186057),,,41,65,41,,,100,68,65,65,100,26,14
1,a94bb41c-1e04-4f1a-80fe-1b0fdf547985,,Guest,"Oct 24, 2022  7:04pm",Prince George (CA),,,,,,,From the City’s website,,,,Selected,,,,6-10 years,,Selected,,,,,,,,,,"Sidewalks, Roads",,,,Selected,Selected,,,,,,,,Submit,Selected,9,,,,,9,,8,8,10,,9,,,,,,,,,,,,,,,,,,,,,,,100,82,,,100,100,,100,100
1,c3774eac-6b3f-4879-a43c-6504a45780a5,,Guest,"Oct 24, 2022  7:13pm",Prince George (CA),"450,000",,,Yes,Selected,,From a friend,Selected,,,,,,,More than 10 years,Selected,,,,,Yes,Selected,,Yes,Selected,,"Pools, Sidewalks, Roads, Performing Arts",Selected,,,Selected,Selected,,,,,Selected,10,,,,0,,0,0,,,6,0,0,5,0,5,Yes,Selected,,No,,Selected,"HUGE lack of affordable housing. 
We greatly lack in quality healthcare. 
Barely any psychiatric help. 
Criminalizing and punishing those who don’t have a home/shelter which is inhumane. 
Not having adequate + accessible mental health/addiction services.",Corporate Services: Keep the Same (396.22),Community Planning and Infrastructure: 15% Increase (160.6050766),Services that attract and retain business and facilitate development: 15% Increase (9),Community Support services : 15% Increase (134.6512432),Keep the same (96.36),Recreation and Community Services: Keep the Same (171.99), Public Transit Services: 15% Increase (97.72989271),Roads and Sidewalks: 15% Increase (129.0516159),Snow and Ice Control: 10% Increase (218.9254869),Bylaw Enforcement Services: 5% Decrease (45.59263576),Fire Protection Services: 5% Increase (400.2051272),Police Services: 15% Decrease (520.7574387),100,100,100,100,100,100,100,1,100,16,100,100
1,8fc7d9cc-e820-4442-8d98-f38ebb05a508,,Guest,"Oct 24, 2022  7:18pm",(CA),750000,,,,,,I received an email from the City inviting me to participate,,,Selected,,,,,More than 10 years,Selected,,,,,,,,,,,"Stormwater drainage, Energy – heat and electricity, Outdoor recreation facilities such as basketball courts, tennis courts, and ball diamonds",,,,,,Selected,Selected,,Selected,,,,,,8,,,,,10,,10,,,,7,,,,,,,"Development, increase in jobs",Corporate Services: 10% Decrease (356.5999916),Community Planning and Infrastructure: 5% Increase (146.6394178),Services that attract and retain business and facilitate development: 5% Increase (7),Community Support services : 10% Decrease (105.3792338),Keep the same (96.36),Recreation and Community Services: 5% Decrease (163.3915891), Public Transit Services: Keep the Same (84.98),Roads and Sidewalks: 5% Increase (117.8297362),Snow and Ice Control: 10% Increase (218.9254869),Bylaw Enforcement Services: Keep the Same (47.99),Fire Protection Services: 5% Increase (400.2051272),Police Services: Keep the Same (612.66),100,100,24,68,29,35,1,100,100,27,1,57
1,eb67cdde-8273-4175-af57-dd69bc81dbcc,,Guest,"Oct 24, 2022  7:20pm",(CA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,232518cc-1af7-4f17-b86b-0a32b2bf25bd,,Guest,"Oct 24, 2022  7:22pm",Prince George (CA),,,,,,,From a social media post by a friend/business/organization I follow,,,,,Selected,,,1-2 years,,,,,Selected,,,,,,,"Roads, Stormwater drainage, Energy – heat and electricity",,,,,Selected,Selected,Selected,,,,,,Submit,Selected,,7,8,2,,,5,4,,7,,,,,,,,,,Corporate Services: 10% Decrease (356.5999916),Community Planning and Infrastructure: Keep the Same (139.66),Services that attract and retain business and facilitate development: 5% Increase (7),Community Support services : 5% Increase (122.9424394),Keep the same (96.36),Recreation and Community Services: 10% Decrease (154.7920317), Public Transit Services: Keep the Same (84.98),Roads and Sidewalks: Keep the Same (112.22),Snow and Ice Control: Keep the Same (199.02),Bylaw Enforcement Services: 5% Decrease (45.59263576),Fire Protection Services: 5% Increase (400.2051272),Police Services: 5% Increase (643.2886007),59,34,72,,35,37,35,66,67,36,43,16
1,35c037d6-4837-4c09-b481-eb0af4d7ae89,,Guest,"Oct 24, 2022  7:21pm",Prince George (CA),475000,,,,,,From the news media,,Selected,,,,,,3-5 years,,,Selected,,,,,,,,,"Sidewalks, Stormwater drainage, Energy – heat and electricity",,,,Selected,,Selected,Selected,,,,,residential,Submit,Selected,3,,3,,3,7,7,2,,6,4,7,,,,,,,"Develop a new Official Community Plan that the City, Mayor, and Council will follow and that will be supported by the Citizens of Prince George.",Corporate Services: 5% Decrease (376.4111022),Community Planning and Infrastructure: 5% Increase (146.6394178),Services that attract and retain business and facilitate development: 5% Increase (7),Community Support services : 5% Decrease (111.2336357),"Parks, Trails, and Beautification: 5% Decrease (91.54396003)",Recreation and Community Services: 5% Decrease (163.3915891), Public Transit Services: 5% Increase (89.23164117),Roads and Sidewalks: 5% Decrease (106.6078566),Snow and Ice Control: Keep the Same (199.02),Bylaw Enforcement Services: 5% Decrease (45.59263576),Fire Protection Services: 5% Decrease (362.0903532),Police Services: 10% Increase (673.9213912),100,75,64,,61,69,59,100,50,50,,61
1,88a261d4-deef-4923-9e42-4a57850c6e4b,,Guest,"Oct 24, 2022  7:30pm",Prince George (CA),135000,,,,,,From the City’s website,,,,Selected,,,,More than 10 years,Selected,,,,,,,,,,,"Sidewalks, Roads",,,,Selected,Selected,,,,,,,,Submit,Selected,,,,,,,5,,,,,,,,,,,,,Corporate Services: Keep the Same (396.22),Community Planning and Infrastructure: Keep the Same (139.66),Services that attract and retain business and facilitate development: Keep the Same (6.46),Community Support services : Keep the Same (117.09),Keep the same (96.36),Recreation and Community Services: Keep the Same (171.99), Public Transit Services: Keep the Same (84.98),Roads and Sidewalks: Keep the Same (112.22),Snow and Ice Control: Keep the Same (199.02),Bylaw Enforcement Services: Keep the Same (47.99),Fire Protection Services: Keep the Same (381.15),Police Services: Keep the Same (612.66),,,,,,,,,,,,
1,dee60925-fcde-423e-999e-6df2fdc28e2e,,Guest,"Oct 24, 2022  7:31pm",Burnaby (CA),450000,,,,,,From the news media,,Selected,,,,,,More than 10 years,Selected,,,,,,,,,,,"Pools, Arenas, Playgrounds, Roads, Stormwater drainage, Nature parks and trails, Outdoor recreation facilities such as basketball courts, tennis courts, and ball diamonds",Selected,Selected,Selected,,Selected,Selected,,Selected,Selected,,,,Submit,Selected,7,7,1,1,2,10,8,6,,8,5,10,,,,,,,Hire additional firefighter and police staff. Training facility for fire department,Corporate Services: Keep the Same (396.22),Community Planning and Infrastructure: 5% Increase (146.6394178),Services that attract and retain business and facilitate development: Keep the Same (6.46),Community Support services : 15% Decrease (99.52483193),"Parks, Trails, and Beautification: 5% Increase (101.1801663)",Recreation and Community Services: 5% Increase (180.5907037), Public Transit Services: Keep the Same (84.98),Roads and Sidewalks: 5% Increase (117.8297362),Snow and Ice Control: 5% Increase (208.9743284),Bylaw Enforcement Services: Keep the Same (47.99),Fire Protection Services: 15% Increase (438.3199012),Police Services: 15% Increase (704.5541818),100,100,1,100,100,100,100,100,100,71,17,28
1,1af2da00-e368-4e2e-ac81-c95430c0bab1,,Guest,"Oct 24, 2022  7:32pm",Vancouver (CA),,,,,,,From the City’s website,,,,Selected,,,,More than 10 years,Selected,,,,,,,,,,,"Pools, Arenas, Playgrounds, Sidewalks, Roads",Selected,Selected,Selected,Selected,Selected,,,,,,,,Submit,Selected,4,4,,,,8,,8,,,,4,,,,,,,"I feel some areas of town are neglected. We have lived on north kelly for 14 years and have seen no improvements. Very high taxes for nothing. We need street lights and somewhere to walk on road. i invite someone to drive up here at night. we have a lot of moose, deer and bear and it is very dangerous if one comes out on road.",Corporate Services: 5% Decrease (376.4111022),,,,,,,Roads and Sidewalks: 5% Increase (117.8297362),Snow and Ice Control: 5% Increase (208.9743284),Bylaw Enforcement Services: 5% Increase (50.39186057),,,36,,76,77,76,26,33,99,73,78,1,
1,5541a070-f498-4ea1-ab48-2dd1ea0cec85,,Guest,"Oct 24, 2022  7:33pm",Burnaby (CA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreation and Community Services: 5% Increase (180.5907037),,Roads and Sidewalks: 15% Increase (129.0516159),Snow and Ice Control: 10% Increase (218.9254869),,,Police Services: 10% Increase (673.9213912),,,,,,,,,,,,
1,1cfc7690-d236-47f6-ab8d-c9610203531e,,Guest,"Oct 24, 2022  7:34pm",Prince George (CA),460000,,,"No, Its overly complicated",,Selected,From the news media,,Selected,,,,,,More than 10 years,Selected,,,,,No,,Selected,No,,Selected,Nature parks and trails,,,,,,,,Selected,,,1,,Submit,Selected,,,2,4,,,2,,2,3,6,0,No,,Selected,No,,Selected,Parks & trails are the most important pieces of infrastructure. We need to bolster our budget for areas like Ginters and Pidherney. Those are well used Green spaces that should get city support.,Corporate Services: 15% Decrease (336.7888809),Community Planning and Infrastructure: Keep the Same (139.66),Services that attract and retain business and facilitate development: 15% Decrease (3),Community Support services : 15% Decrease (99.52483193),"Parks, Trails, and Beautification: 15% Increase (110.8163727)",Recreation and Community Services: 5% Decrease (163.3915891), Public Transit Services: 15% Decrease (72.23513809),Roads and Sidewalks: 15% Increase (129.0516159),Snow and Ice Control: 15% Increase (228.8766454),Bylaw Enforcement Services: 5% Decrease (45.59263576),Fire Protection Services: Keep the Same (381.15),Police Services: Keep the Same (612.66),2,64,38,78,69,99,1,66,65,1,2,3
1,7e235aa1-38b5-45eb-9fc7-9591d2a5ba11,,Guest,"Oct 24, 2022  7:36pm",Nanaimo (CA),224000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2b9a1a50-cdd1-4e41-ae8e-78bfc7a1f1cc,,Guest,"Oct 24, 2022  7:37pm",Burns Lake (CA),,,,,,,From the news media,,Selected,,,,,,More than 10 years,Selected,,,,,,,,,,,"Roads, Stormwater drainage, Energy – heat and electricity",,,,,Selected,Selected,Selected,,,,,,Submit,Selected,8,0,0,,,0,,10,,,,4,,,,,,,homeless - and listen to the working people not the micro minority -,Corporate Services: Keep the Same (396.22),Community Planning and Infrastructure: Keep the Same (139.66),Services that attract and retain business and facilitate development: Keep the Same (6.46),Community Support services : 5% Increase (122.9424394),Keep the same (96.36),Recreation and Community Services: Keep the Same (171.99), Public Transit Services: Keep the Same (84.98),Roads and Sidewalks: Keep the Same (112.22),Snow and Ice Control: Keep the Same (199.02),Bylaw Enforcement Services: 15% Increase (55.19108539),Fire Protection Services: 15% Decrease (323.9755792),Police Services: 15% Increase (704.5541818),,,,,,,,100,7,100,,
1,76c47af2-6541-4897-830d-568d7da4443b,,Guest,"Oct 24, 2022  7:43pm",(CA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire Protection Services: 10% Decrease (343.0329662),Police Services: 5% Increase (643.2886007),,,,,,,,,,,,
1,317c838b-4ace-47ca-b52b-a911895fe90a,,Guest,"Oct 24, 2022  7:47pm",Vancouver (CA),440000,,,"Yes, Good to give info0",Selected,,From the City’s website,,,,Selected,,,,6-10 years,,Selected,,,,,,,,,,"Stormwater drainage, Nature parks and trails, Outdoor recreation facilities such as basketball courts, tennis courts, and ball diamonds, Performing Arts",,,,,,Selected,,Selected,Selected,Selected,,,Submit,Selected,6,6,6,6,8,8,10,8,6,10,6,10,,,,,,,More connected paved trails and a performing arts centre,Corporate Services: Keep the Same (396.22),Community Planning and Infrastructure: 15% Increase (160.6050766),,Community Support services : 5% Increase (122.9424394),"Parks, Trails, and Beautification: 15% Increase (110.8163727)",Recreation and Community Services: 15% Increase (197.7898183), Public Transit Services: 15% Decrease (72.23513809),Roads and Sidewalks: 10% Increase (123.440676),Snow and Ice Control: Keep the Same (199.02),Bylaw Enforcement Services: 10% Decrease (43.19302335),Fire Protection Services: 10% Decrease (343.0329662), 10% Decrease (551.3902292),11,60,77,60,63,100,100,,54,59,100,98
